cik,ticker,name,fiscal_year,logical_input,originally_reported,latest_reported,original_filed,latest_filed,n_versions,rel_change,change_type,restated
885590,BHC,Bausch Health (fka Valeant),2013,income_continuing,-863669000,-863600000,2014-02-28,2016-04-29,2,7.989171777613878e-05,none,False
885590,BHC,Bausch Health (fka Valeant),2014,income_continuing,912200000,880000000,2015-02-25,2017-03-01,3,0.03529927647445735,restated,True
885590,BHC,Bausch Health (fka Valeant),2015,income_continuing,-287800000,-288000000,2016-04-29,2018-02-28,2,0.0006949270326615705,none,False
885590,BHC,Bausch Health (fka Valeant),2016,income_continuing,-2408000000,-2408000000,2017-03-01,2019-02-20,1,0.0,none,False
885590,BHC,Bausch Health (fka Valeant),2017,income_continuing,2404000000,2404000000,2018-02-28,2020-02-19,1,0.0,none,False
885590,BHC,Bausch Health (fka Valeant),2018,income_continuing,-4144000000,-4144000000,2019-02-20,2021-02-24,1,0.0,none,False
885590,BHC,Bausch Health (fka Valeant),2019,income_continuing,-1783000000,-1783000000,2020-02-19,2022-02-23,1,0.0,none,False
885590,BHC,Bausch Health (fka Valeant),2020,income_continuing,-559000000,-559000000,2021-02-24,2023-02-23,1,0.0,none,False
885590,BHC,Bausch Health (fka Valeant),2018,revenue,8380000000,8380000000,2019-02-20,2021-02-24,1,0.0,none,False
885590,BHC,Bausch Health (fka Valeant),2019,revenue,8601000000,8601000000,2020-02-19,2022-02-23,1,0.0,none,False
885590,BHC,Bausch Health (fka Valeant),2020,revenue,8027000000,8027000000,2021-02-24,2023-02-23,1,0.0,none,False
885590,BHC,Bausch Health (fka Valeant),2021,revenue,8434000000,8434000000,2022-02-23,2024-02-22,1,0.0,none,False
885590,BHC,Bausch Health (fka Valeant),2022,revenue,8124000000,8124000000,2023-02-23,2025-02-20,1,0.0,none,False
885590,BHC,Bausch Health (fka Valeant),2023,revenue,8757000000,8757000000,2024-02-22,2026-02-19,1,0.0,none,False
885590,BHC,Bausch Health (fka Valeant),2024,revenue,9625000000,9625000000,2025-02-20,2026-02-19,1,0.0,none,False
885590,BHC,Bausch Health (fka Valeant),2025,revenue,10266000000,10266000000,2026-02-19,2026-02-19,1,0.0,none,False
885590,BHC,Bausch Health (fka Valeant),2010,revenue,1181237000,1181237000,2011-02-28,2013-02-28,1,0.0,none,False
885590,BHC,Bausch Health (fka Valeant),2011,revenue,2463450000,2427450000,2012-02-29,2014-02-28,2,0.0146136515861901,restated,True
885590,BHC,Bausch Health (fka Valeant),2012,revenue,3546626000,3480400000,2013-02-28,2015-02-25,3,0.01867295846813281,restated,True
885590,BHC,Bausch Health (fka Valeant),2013,revenue,5769605000,5769600000,2014-02-28,2016-04-29,2,8.666104525353122e-07,none,False
885590,BHC,Bausch Health (fka Valeant),2014,revenue,8263500000,8206000000,2015-02-25,2017-03-01,2,0.0069583106431899315,restated,True
885590,BHC,Bausch Health (fka Valeant),2015,revenue,10446500000,10447000000,2016-04-29,2018-02-28,2,4.786292059541473e-05,none,False
885590,BHC,Bausch Health (fka Valeant),2016,revenue,9674000000,9674000000,2017-03-01,2018-02-28,1,0.0,none,False
885590,BHC,Bausch Health (fka Valeant),2017,revenue,8724000000,8724000000,2018-02-28,2018-02-28,1,0.0,none,False
885590,BHC,Bausch Health (fka Valeant),2010,cogs,395595000,395595000,2011-02-28,2013-02-28,1,0.0,none,False
885590,BHC,Bausch Health (fka Valeant),2011,cogs,683750000,683750000,2012-02-29,2014-02-28,1,0.0,none,False
885590,BHC,Bausch Health (fka Valeant),2012,cogs,921533000,905100000,2013-02-28,2015-02-25,3,0.017832242578399254,restated,True
885590,BHC,Bausch Health (fka Valeant),2013,cogs,1846314000,1846300000,2014-02-28,2016-04-29,2,7.582675536230565e-06,none,False
885590,BHC,Bausch Health (fka Valeant),2014,cogs,2196200000,2178000000,2015-02-25,2017-03-01,3,0.008287041253073491,restated,True
885590,BHC,Bausch Health (fka Valeant),2015,cogs,2531600000,2532000000,2016-04-29,2018-02-28,2,0.00015800284405119292,none,False
885590,BHC,Bausch Health (fka Valeant),2016,cogs,2572000000,2572000000,2017-03-01,2018-02-28,1,0.0,none,False
885590,BHC,Bausch Health (fka Valeant),2017,cogs,2506000000,2506000000,2018-02-28,2018-02-28,1,0.0,none,False
885590,BHC,Bausch Health (fka Valeant),2010,sga,276546000,276546000,2011-02-28,2013-02-28,1,0.0,none,False
